material_type,origin_country,export_volume_mt,smelter_operator,processing_location,timestamp,esg_risk_score
lithium,Australia,0.463951601,Pilbara Minerals,Australia Processing Plant,1/31/2023,10
lithium,Australia,0.482355109,Pilbara Minerals,Australia Processing Plant,2/28/2023,10
lithium,Australia,0.472271979,Pilbara Minerals,Australia Processing Plant,3/31/2023,10
lithium,Australia,0.452418252,Pilbara Minerals,Australia Processing Plant,4/30/2023,10
lithium,Australia,0.458537892,Pilbara Minerals,Australia Processing Plant,5/31/2023,10
lithium,Australia,0.515225413,Pilbara Minerals,Australia Processing Plant,6/30/2023,10
lithium,Australia,0.475604997,Pilbara Minerals,Australia Processing Plant,7/31/2023,10
lithium,Australia,0.516721035,Pilbara Minerals,Australia Processing Plant,8/31/2023,10
lithium,Australia,0.534038532,Pilbara Minerals,Australia Processing Plant,9/30/2023,10
lithium,Australia,0.469966655,Pilbara Minerals,Australia Processing Plant,10/31/2023,10
lithium,Australia,0.471785715,Pilbara Minerals,Australia Processing Plant,11/30/2023,10
lithium,Australia,0.504577887,Pilbara Minerals,Australia Processing Plant,12/31/2023,10
lithium,Australia,0.504005038,Pilbara Minerals,Australia Processing Plant,1/31/2024,10
lithium,Australia,0.519753843,Pilbara Minerals,Australia Processing Plant,2/29/2024,10
lithium,Australia,0.488604578,Pilbara Minerals,Australia Processing Plant,3/31/2024,10
lithium,Australia,0.519753133,Pilbara Minerals,Australia Processing Plant,4/30/2024,10
lithium,Australia,0.548001608,Pilbara Minerals,Australia Processing Plant,5/31/2024,10
lithium,Australia,0.479575686,Pilbara Minerals,Australia Processing Plant,6/30/2024,10
lithium,Australia,0.524291733,Pilbara Minerals,Australia Processing Plant,7/31/2024,10
lithium,Australia,0.530955086,Pilbara Minerals,Australia Processing Plant,8/31/2024,10
lithium,Australia,0.544239424,Pilbara Minerals,Australia Processing Plant,9/30/2024,10
lithium,Australia,0.520256624,Pilbara Minerals,Australia Processing Plant,10/31/2024,10
lithium,Australia,0.457698421,Pilbara Minerals,Australia Processing Plant,11/30/2024,10
lithium,Australia,0.534055289,Pilbara Minerals,Australia Processing Plant,12/31/2024,10
lithium,Chile,0.328335068,SQM,Chile Processing Plant,1/31/2023,20
lithium,Chile,0.299595608,SQM,Chile Processing Plant,2/28/2023,20
lithium,Chile,0.290230593,SQM,Chile Processing Plant,3/31/2023,20
lithium,Chile,0.326329906,SQM,Chile Processing Plant,4/30/2023,20
lithium,Chile,0.305362549,SQM,Chile Processing Plant,5/31/2023,20
lithium,Chile,0.298804891,SQM,Chile Processing Plant,6/30/2023,20
lithium,Chile,0.298419536,SQM,Chile Processing Plant,7/31/2023,20
lithium,Chile,0.292471654,SQM,Chile Processing Plant,8/31/2023,20
lithium,Chile,0.291736384,SQM,Chile Processing Plant,9/30/2023,20
lithium,Chile,0.318134415,SQM,Chile Processing Plant,10/31/2023,20
lithium,Chile,0.284019586,SQM,Chile Processing Plant,11/30/2023,20
lithium,Chile,0.304037772,SQM,Chile Processing Plant,12/31/2023,20
lithium,Chile,0.315303522,SQM,Chile Processing Plant,1/31/2024,20
lithium,Chile,0.280387677,SQM,Chile Processing Plant,2/29/2024,20
lithium,Chile,0.280202636,SQM,Chile Processing Plant,3/31/2024,20
