country,geo,year,month,keyword,trend_score,date
China,CN,2018,12,BYD,0,2018-12-01
China,CN,2018,12,Tesla,32,2018-12-01
China,CN,2018,12,electric car,0,2018-12-01
China,CN,2019,1,BYD,2.25,2019-01-01
China,CN,2019,1,Tesla,33.25,2019-01-01
China,CN,2019,1,electric car,0,2019-01-01
China,CN,2019,2,BYD,0,2019-02-01
China,CN,2019,2,Tesla,43.5,2019-02-01
China,CN,2019,2,electric car,0,2019-02-01
China,CN,2019,3,BYD,2.4,2019-03-01
China,CN,2019,3,Tesla,51.2,2019-03-01
China,CN,2019,3,electric car,0,2019-03-01
China,CN,2019,4,BYD,2.25,2019-04-01
China,CN,2019,4,Tesla,45.75,2019-04-01
China,CN,2019,4,electric car,0,2019-04-01
China,CN,2019,5,BYD,0,2019-05-01
China,CN,2019,5,Tesla,46,2019-05-01
China,CN,2019,5,electric car,0,2019-05-01
China,CN,2019,6,BYD,0,2019-06-01
China,CN,2019,6,Tesla,38.2,2019-06-01
China,CN,2019,6,electric car,0,2019-06-01
China,CN,2019,7,BYD,0,2019-07-01
China,CN,2019,7,Tesla,34.5,2019-07-01
China,CN,2019,7,electric car,0,2019-07-01
China,CN,2019,8,BYD,0,2019-08-01
China,CN,2019,8,Tesla,31.75,2019-08-01
China,CN,2019,8,electric car,0,2019-08-01
China,CN,2019,9,BYD,2.4,2019-09-01
China,CN,2019,9,Tesla,33.6,2019-09-01
China,CN,2019,9,electric car,0,2019-09-01
China,CN,2019,10,BYD,0,2019-10-01
China,CN,2019,10,Tesla,40,2019-10-01
China,CN,2019,10,electric car,0,2019-10-01
China,CN,2019,11,BYD,0,2019-11-01
China,CN,2019,11,Tesla,63.25,2019-11-01
China,CN,2019,11,electric car,0,2019-11-01
China,CN,2019,12,BYD,0,2019-12-01
China,CN,2019,12,Tesla,50,2019-12-01
China,CN,2019,12,electric car,0,2019-12-01
China,CN,2020,1,BYD,2.75,2020-01-01
China,CN,2020,1,Tesla,67.25,2020-01-01
China,CN,2020,1,electric car,0,2020-01-01
China,CN,2020,2,BYD,0,2020-02-01
China,CN,2020,2,Tesla,68,2020-02-01
China,CN,2020,2,electric car,0,2020-02-01
China,CN,2020,3,BYD,0,2020-03-01
China,CN,2020,3,Tesla,54.4,2020-03-01
China,CN,2020,3,electric car,0,2020-03-01
China,CN,2020,4,BYD,0,2020-04-01
China,CN,2020,4,Tesla,58.25,2020-04-01
China,CN,2020,4,electric car,0,2020-04-01
China,CN,2020,5,BYD,0,2020-05-01
China,CN,2020,5,Tesla,45.2,2020-05-01
China,CN,2020,5,electric car,0,2020-05-01
China,CN,2020,6,BYD,0,2020-06-01
China,CN,2020,6,Tesla,47.25,2020-06-01
China,CN,2020,6,electric car,0,2020-06-01
China,CN,2020,7,BYD,0,2020-07-01
China,CN,2020,7,Tesla,54,2020-07-01
China,CN,2020,7,electric car,0,2020-07-01
China,CN,2020,8,BYD,0,2020-08-01
China,CN,2020,8,Tesla,61,2020-08-01
China,CN,2020,8,electric car,0,2020-08-01
China,CN,2020,9,BYD,0,2020-09-01
China,CN,2020,9,Tesla,78.5,2020-09-01
China,CN,2020,9,electric car,0,2020-09-01
China,CN,2020,10,BYD,0,2020-10-01
China,CN,2020,10,Tesla,58.75,2020-10-01
China,CN,2020,10,electric car,0,2020-10-01
China,CN,2020,11,BYD,0,2020-11-01
China,CN,2020,11,Tesla,64.6,2020-11-01
China,CN,2020,11,electric car,0,2020-11-01
China,CN,2020,12,BYD,0,2020-12-01
China,CN,2020,12,EV charging,0,2020-12-01
China,CN,2020,12,Tesla,71.4,2020-12-01
China,CN,2020,12,electric car,0,2020-12-01
China,CN,2020,12,electric vehicle,0,2020-12-01
China,CN,2021,1,BYD,6.4,2021-01-01
China,CN,2021,1,EV charging,0,2021-01-01
China,CN,2021,1,Tesla,79,2021-01-01
China,CN,2021,1,electric car,0,2021-01-01
China,CN,2021,1,electric vehicle,0,2021-01-01
China,CN,2021,2,BYD,3.25,2021-02-01
China,CN,2021,2,EV charging,0,2021-02-01
China,CN,2021,2,Tesla,82.25,2021-02-01
China,CN,2021,2,electric car,0,2021-02-01
China,CN,2021,2,electric vehicle,0,2021-02-01
China,CN,2021,3,BYD,2.5,2021-03-01
China,CN,2021,3,EV charging,0,2021-03-01
China,CN,2021,3,Tesla,63.75,2021-03-01
China,CN,2021,3,electric car,3.25,2021-03-01
China,CN,2021,3,electric vehicle,25,2021-03-01
China,CN,2021,4,BYD,7.25,2021-04-01
China,CN,2021,4,EV charging,0,2021-04-01
China,CN,2021,4,Tesla,57,2021-04-01
China,CN,2021,4,electric car,0,2021-04-01
China,CN,2021,4,electric vehicle,0,2021-04-01
China,CN,2021,5,BYD,1.4,2021-05-01
China,CN,2021,5,EV charging,0,2021-05-01
China,CN,2021,5,Tesla,51,2021-05-01
China,CN,2021,5,electric car,0,2021-05-01
China,CN,2021,5,electric vehicle,0,2021-05-01
China,CN,2021,6,BYD,1.5,2021-06-01
China,CN,2021,6,EV charging,0,2021-06-01
China,CN,2021,6,Tesla,40.75,2021-06-01
China,CN,2021,6,electric car,0,2021-06-01
China,CN,2021,6,electric vehicle,0,2021-06-01
China,CN,2021,7,BYD,1.75,2021-07-01
China,CN,2021,7,EV charging,0,2021-07-01
China,CN,2021,7,Tesla,41,2021-07-01
China,CN,2021,7,electric car,0,2021-07-01
China,CN,2021,7,electric vehicle,0,2021-07-01
China,CN,2021,8,BYD,6.2,2021-08-01
China,CN,2021,8,EV charging,0,2021-08-01
China,CN,2021,8,Tesla,46.2,2021-08-01
China,CN,2021,8,electric car,1,2021-08-01
China,CN,2021,8,electric vehicle,0,2021-08-01
China,CN,2021,9,BYD,3,2021-09-01
China,CN,2021,9,EV charging,0,2021-09-01
China,CN,2021,9,Tesla,43.25,2021-09-01
China,CN,2021,9,electric car,1.5,2021-09-01
China,CN,2021,9,electric vehicle,0,2021-09-01
China,CN,2021,10,BYD,3.2,2021-10-01
China,CN,2021,10,EV charging,0,2021-10-01
China,CN,2021,10,Tesla,50,2021-10-01
China,CN,2021,10,electric car,1.2,2021-10-01
China,CN,2021,10,electric vehicle,0,2021-10-01
China,CN,2021,11,BYD,5.25,2021-11-01
China,CN,2021,11,EV charging,0,2021-11-01
China,CN,2021,11,Tesla,55.25,2021-11-01
China,CN,2021,11,electric car,1.5,2021-11-01
China,CN,2021,11,electric vehicle,0,2021-11-01
China,CN,2021,12,BYD,8.2,2021-12-01
China,CN,2021,12,EV charging,0,2021-12-01
China,CN,2021,12,Tesla,50.6,2021-12-01
China,CN,2021,12,electric car,0,2021-12-01
China,CN,2021,12,electric vehicle,0,2021-12-01
China,CN,2022,1,BYD,8,2022-01-01
China,CN,2022,1,EV charging,0,2022-01-01
China,CN,2022,1,Tesla,79,2022-01-01
China,CN,2022,1,electric car,0,2022-01-01
China,CN,2022,1,electric vehicle,0,2022-01-01
China,CN,2022,2,BYD,13.75,2022-02-01
China,CN,2022,2,EV charging,0,2022-02-01
China,CN,2022,2,Tesla,72,2022-02-01
China,CN,2022,2,electric car,0,2022-02-01
China,CN,2022,2,electric vehicle,0,2022-02-01
China,CN,2022,3,BYD,10.5,2022-03-01
China,CN,2022,3,EV charging,0,2022-03-01
China,CN,2022,3,Tesla,73.75,2022-03-01
China,CN,2022,3,electric car,7.25,2022-03-01
China,CN,2022,3,electric vehicle,0,2022-03-01
China,CN,2022,4,BYD,10.75,2022-04-01
China,CN,2022,4,EV charging,0,2022-04-01
China,CN,2022,4,Tesla,76,2022-04-01
China,CN,2022,4,electric car,4,2022-04-01
China,CN,2022,4,electric vehicle,25,2022-04-01
China,CN,2022,5,BYD,10.4,2022-05-01
China,CN,2022,5,EV charging,0,2022-05-01
China,CN,2022,5,Tesla,80.4,2022-05-01
China,CN,2022,5,electric car,0,2022-05-01
China,CN,2022,5,electric vehicle,13,2022-05-01
China,CN,2022,6,BYD,15.25,2022-06-01
China,CN,2022,6,EV charging,0,2022-06-01
China,CN,2022,6,Tesla,75.5,2022-06-01
China,CN,2022,6,electric car,0,2022-06-01
China,CN,2022,6,electric vehicle,16.75,2022-06-01
China,CN,2022,7,BYD,14.2,2022-07-01
China,CN,2022,7,EV charging,13,2022-07-01
China,CN,2022,7,Tesla,66.6,2022-07-01
China,CN,2022,7,electric car,3,2022-07-01
China,CN,2022,7,electric vehicle,0,2022-07-01
China,CN,2022,8,BYD,14,2022-08-01
China,CN,2022,8,EV charging,0,2022-08-01
China,CN,2022,8,Tesla,65.5,2022-08-01
China,CN,2022,8,electric car,0,2022-08-01
China,CN,2022,8,electric vehicle,0,2022-08-01
China,CN,2022,9,BYD,13.25,2022-09-01
China,CN,2022,9,EV charging,0,2022-09-01
China,CN,2022,9,Tesla,72.75,2022-09-01
China,CN,2022,9,electric car,0,2022-09-01
China,CN,2022,9,electric vehicle,0,2022-09-01
China,CN,2022,10,BYD,15.6,2022-10-01
China,CN,2022,10,EV charging,0,2022-10-01
China,CN,2022,10,Tesla,81,2022-10-01
China,CN,2022,10,electric car,3.6,2022-10-01
China,CN,2022,10,electric vehicle,0,2022-10-01
China,CN,2022,11,BYD,15,2022-11-01
China,CN,2022,11,EV charging,0,2022-11-01
China,CN,2022,11,Tesla,66,2022-11-01
China,CN,2022,11,electric car,1.75,2022-11-01
China,CN,2022,11,electric vehicle,0,2022-11-01
China,CN,2022,12,BYD,13.25,2022-12-01
China,CN,2022,12,EV charging,0,2022-12-01
China,CN,2022,12,Tesla,68.5,2022-12-01
China,CN,2022,12,electric car,0,2022-12-01
China,CN,2022,12,electric vehicle,0,2022-12-01
China,CN,2023,1,BYD,20.6,2023-01-01
China,CN,2023,1,EV charging,0,2023-01-01
China,CN,2023,1,Tesla,81.6,2023-01-01
China,CN,2023,1,electric car,0,2023-01-01
China,CN,2023,1,electric vehicle,0,2023-01-01
China,CN,2023,2,BYD,15.5,2023-02-01
China,CN,2023,2,EV charging,0,2023-02-01
China,CN,2023,2,Tesla,78,2023-02-01
China,CN,2023,2,electric car,0,2023-02-01
China,CN,2023,2,electric vehicle,15.5,2023-02-01
China,CN,2023,3,BYD,17.5,2023-03-01
China,CN,2023,3,EV charging,0,2023-03-01
China,CN,2023,3,Tesla,62.25,2023-03-01
China,CN,2023,3,electric car,1.5,2023-03-01
China,CN,2023,3,electric vehicle,0,2023-03-01
China,CN,2023,4,BYD,24.2,2023-04-01
China,CN,2023,4,EV charging,0,2023-04-01
China,CN,2023,4,Tesla,66.6,2023-04-01
China,CN,2023,4,electric car,2.6,2023-04-01
China,CN,2023,4,electric vehicle,12.2,2023-04-01
China,CN,2023,5,BYD,21.75,2023-05-01
China,CN,2023,5,EV charging,0,2023-05-01
China,CN,2023,5,Tesla,64.75,2023-05-01
China,CN,2023,5,electric car,1.5,2023-05-01
China,CN,2023,5,electric vehicle,16,2023-05-01
China,CN,2023,6,BYD,20,2023-06-01
China,CN,2023,6,EV charging,0,2023-06-01
China,CN,2023,6,Tesla,66.5,2023-06-01
China,CN,2023,6,electric car,3.5,2023-06-01
China,CN,2023,6,electric vehicle,0,2023-06-01
China,CN,2023,7,BYD,19.8,2023-07-01
China,CN,2023,7,EV charging,0,2023-07-01
China,CN,2023,7,Tesla,67.4,2023-07-01
China,CN,2023,7,electric car,3,2023-07-01
China,CN,2023,7,electric vehicle,0,2023-07-01
China,CN,2023,8,BYD,20.25,2023-08-01
China,CN,2023,8,EV charging,0,2023-08-01
China,CN,2023,8,Tesla,70,2023-08-01
China,CN,2023,8,electric car,1.5,2023-08-01
China,CN,2023,8,electric vehicle,0,2023-08-01
China,CN,2023,9,BYD,20,2023-09-01
China,CN,2023,9,EV charging,0,2023-09-01
China,CN,2023,9,Tesla,58.75,2023-09-01
China,CN,2023,9,electric car,1.5,2023-09-01
China,CN,2023,9,electric vehicle,0,2023-09-01
China,CN,2023,10,BYD,20.6,2023-10-01
China,CN,2023,10,EV charging,0,2023-10-01
China,CN,2023,10,Tesla,59,2023-10-01
China,CN,2023,10,electric car,2.6,2023-10-01
China,CN,2023,10,electric vehicle,21.4,2023-10-01
China,CN,2023,11,BYD,21.5,2023-11-01
China,CN,2023,11,EV charging,0,2023-11-01
China,CN,2023,11,Tesla,60.25,2023-11-01
China,CN,2023,11,electric car,6,2023-11-01
China,CN,2023,11,electric vehicle,31.5,2023-11-01
China,CN,2023,12,BYD,18.67,2023-12-01
China,CN,2023,12,EV charging,0,2023-12-01
China,CN,2023,12,Tesla,58.33,2023-12-01
China,CN,2023,12,electric car,3.83,2023-12-01
China,CN,2023,12,electric vehicle,25.5,2023-12-01
China,CN,2024,1,BYD,17.5,2024-01-01
China,CN,2024,1,EV charging,0,2024-01-01
China,CN,2024,1,Tesla,48,2024-01-01
China,CN,2024,1,electric car,2.75,2024-01-01
China,CN,2024,1,electric vehicle,0,2024-01-01
China,CN,2024,2,BYD,18.5,2024-02-01
China,CN,2024,2,EV charging,17.5,2024-02-01
China,CN,2024,2,Tesla,44.75,2024-02-01
China,CN,2024,2,electric car,1,2024-02-01
China,CN,2024,2,electric vehicle,0,2024-02-01
China,CN,2024,3,BYD,20.8,2024-03-01
China,CN,2024,3,EV charging,0,2024-03-01
