country,year,month,gasoline_price_usd_per_liter,source,frequency,,date
China,2019,1,0.89,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-01-01
China,2019,2,0.89,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-02-01
China,2019,3,0.89,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-03-01
China,2019,4,0.93,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-04-01
China,2019,5,0.93,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-05-01
China,2019,6,0.93,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-06-01
China,2019,7,0.95,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-07-01
China,2019,8,0.95,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-08-01
China,2019,9,0.95,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-09-01
China,2019,10,0.9,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-10-01
China,2019,11,0.9,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-11-01
China,2019,12,0.9,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-12-01
China,2020,1,0.78,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-01-01
China,2020,2,0.78,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-02-01
China,2020,3,0.78,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-03-01
China,2020,4,0.8,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-04-01
China,2020,5,0.8,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-05-01
China,2020,6,0.8,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-06-01
China,2020,7,0.86,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-07-01
China,2020,8,0.86,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-08-01
China,2020,9,0.86,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-09-01
China,2020,10,0.88,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-10-01
China,2020,11,0.88,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-11-01
